|slug                                         |name_full                                                      |resistance_source   |load_capacity_kg|active_tension_exposure_vector                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|lying_dumbbell_triceps_extension             |Flat Bench Bilateral Dumbbell Lying Triceps Extension          |Dumbbell            |24              |"{\"rotator_cuffs\": 12.00, \"wrist_flexors\": 3.26, \"erector_spinae\": 2.00, \"deltoid_anterior\": 4.57, \"serratus_anterior\": 2.00, \"triceps_long_head\": 32.24, \"triceps_medial_head\": 9.51, \"pronators_supinators\": 3.00, \"triceps_lateral_head\": 22.02, \"pectoralis_major_sternal\": 2.61}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|standing_barbell_shrug                       |Standing Barbell Shrug                                         |Barbell             |100             |"{\"obliques\": 4.00, \"rhomboids\": 14.00, \"rotator_cuffs\": 6.00, \"wrist_flexors\": 24.00, \"erector_spinae\": 24.00, \"deltoid_lateral\": 3.20, \"trapezius_lower\": 6.00, \"trapezius_upper\": 19.00, \"wrist_extensors\": 3.00, \"trapezius_middle\": 18.00, \"deep_neck_extensors\": 14.00, \"sternocleidomastoid\": 7.50, \"transverse_abdominis\": 3.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|rope_triceps_pushdown                        |Standing Cable Rope Triceps Pushdown                           |Cable               |40              |"{\"obliques\": 1.50, \"rotator_cuffs\": 6.00, \"wrist_flexors\": 3.26, \"erector_spinae\": 7.00, \"trapezius_lower\": 1.52, \"wrist_extensors\": 4.29, \"latissimus_dorsi\": 9.50, \"deltoid_posterior\": 2.50, \"triceps_long_head\": 21.34, \"triceps_medial_head\": 10.60, \"pronators_supinators\": 2.00, \"triceps_lateral_head\": 24.55}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|barbell_jm_press                             |Flat Bench Barbell JM Press                                    |Barbell             |45              |"{\"rhomboids\": 2.00, \"rotator_cuffs\": 10.00, \"wrist_flexors\": 3.81, \"erector_spinae\": 3.00, \"deltoid_anterior\": 9.44, \"latissimus_dorsi\": 1.50, \"trapezius_middle\": 2.00, \"serratus_anterior\": 3.00, \"triceps_long_head\": 33.11, \"triceps_medial_head\": 11.85, \"triceps_lateral_head\": 27.44, \"pectoralis_major_sternal\": 7.75, \"pectoralis_major_clavicular\": 2.10}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|landmine_t_bar_row                           |Standing Bent-Over Landmine T-Bar Row                          |Barbell             |70              |"{\"obliques\": 6.00, \"rhomboids\": 16.00, \"brachialis\": 35.00, \"teres_major\": 3.20, \"rotator_cuffs\": 4.00, \"wrist_flexors\": 5.00, \"biceps_brachii\": 27.00, \"erector_spinae\": 38.00, \"brachioradialis\": 4.50, \"trapezius_lower\": 4.50, \"latissimus_dorsi\": 34.00, \"trapezius_middle\": 18.00, \"deltoid_posterior\": 15.00, \"transverse_abdominis\": 4.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|standing_trap_bar_shrug                      |Standing Neutral-Grip Trap-Bar Shrug                           |Barbell             |120             |"{\"rhomboids\": 12.72, \"rotator_cuffs\": 8.00, \"wrist_flexors\": 25.02, \"erector_spinae\": 20.00, \"adductor_magnus\": 2.50, \"brachioradialis\": 1.50, \"deltoid_lateral\": 2.79, \"gluteus_maximus\": 3.00, \"trapezius_lower\": 5.54, \"trapezius_upper\": 17.81, \"wrist_extensors\": 4.83, \"trapezius_middle\": 16.76, \"deep_neck_extensors\": 14.43, \"sternocleidomastoid\": 7.33}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|barbell_romanian_deadlift                    |Barbell Romanian Deadlift                                      |Barbell             |110             |"{\"soleus\": 32.00, \"obliques\": 8.00, \"rhomboids\": 4.50, \"wrist_flexors\": 11.00, \"erector_spinae\": 90.00, \"gluteus_medius\": 28.00, \"semitendinosus\": 14.00, \"adductor_magnus\": 52.00, \"gluteus_maximus\": 78.00, \"semimembranosus\": 48.00, \"trapezius_lower\": 5.50, \"wrist_extensors\": 4.00, \"latissimus_dorsi\": 12.00, \"trapezius_middle\": 11.50, \"transverse_abdominis\": 6.00, \"biceps_femoris_long_head\": 28.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|barbell_upright_row                          |Standing Barbell Upright Row                                   |Barbell             |40              |"{\"brachialis\": 15.42, \"rotator_cuffs\": 40.00, \"wrist_flexors\": 7.07, \"biceps_brachii\": 13.93, \"erector_spinae\": 11.50, \"brachioradialis\": 5.05, \"deltoid_lateral\": 38.87, \"trapezius_upper\": 17.00, \"deltoid_anterior\": 16.75, \"latissimus_dorsi\": 2.50, \"trapezius_middle\": 10.00, \"deltoid_posterior\": 6.50, \"serratus_anterior\": 4.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|captains_chair_bent_knee_raise               |Captain's Chair Bent-Knee Raise                                |Bodyweight          |55              |"{\"obliques\": 6.50, \"iliopsoas\": 66.89, \"sartorius\": 1.21, \"erector_spinae\": 4.00, \"rectus_femoris\": 20.55, \"latissimus_dorsi\": 3.50, \"rectus_abdominis\": 10.50, \"deltoid_posterior\": 2.50, \"triceps_long_head\": 3.00, \"transverse_abdominis\": 4.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|decline_barbell_bench_press                  |Decline Barbell Bench Press                                    |Barbell             |85              |"{\"rhomboids\": 2.00, \"rotator_cuffs\": 18.00, \"wrist_flexors\": 4.35, \"erector_spinae\": 4.00, \"deltoid_anterior\": 15.23, \"latissimus_dorsi\": 2.50, \"trapezius_middle\": 2.00, \"serratus_anterior\": 7.50, \"triceps_long_head\": 22.65, \"triceps_medial_head\": 10.60, \"triceps_lateral_head\": 24.55, \"pectoralis_major_sternal\": 39.04, \"pectoralis_major_clavicular\": 1.13}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|single_arm_dumbbell_suitcase_carry           |Single-Arm Dumbbell Suitcase Carry                             |Dumbbell            |40              |"{\"obliques\": 51.95, \"rotator_cuffs\": 3.00, \"wrist_flexors\": 6.61, \"erector_spinae\": 15.50, \"gluteus_medius\": 27.54, \"brachioradialis\": 1.50, \"gluteus_minimus\": 5.00, \"trapezius_upper\": 9.50, \"wrist_extensors\": 3.58, \"latissimus_dorsi\": 4.50, \"rectus_abdominis\": 2.00, \"transverse_abdominis\": 3.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|barbell_hip_thrust                           |Barbell Hip Thrust with Bench Support                          |Barbell             |140             |"{\"obliques\": 9.00, \"wrist_flexors\": 4.50, \"erector_spinae\": 28.00, \"gluteus_medius\": 14.00, \"rectus_femoris\": 5.00, \"semitendinosus\": 15.50, \"adductor_magnus\": 76.00, \"gluteus_maximus\": 122.32, \"gluteus_minimus\": 4.50, \"semimembranosus\": 50.00, \"vastus_medialis\": 12.00, \"rectus_abdominis\": 5.50, \"vastus_lateralis\": 20.00, \"vastus_intermedius\": 10.00, \"transverse_abdominis\": 5.50, \"adductor_longus_brevis\": 9.00, \"biceps_femoris_long_head\": 31.00}"                                                                                                                                                                                                                                                                                                                                                                                                   |
|standing_low_to_high_cable_woodchopper       |Standing Low-to-High Cable Woodchopper                         |Cable               |20              |"{\"obliques\": 41.51, \"rotator_cuffs\": 3.00, \"wrist_flexors\": 2.00, \"erector_spinae\": 1.50, \"gluteus_medius\": 0.93, \"trapezius_upper\": 1.50, \"deltoid_anterior\": 9.17, \"latissimus_dorsi\": 3.50, \"rectus_abdominis\": 4.50, \"serratus_anterior\": 13.50, \"transverse_abdominis\": 4.00, \"pectoralis_major_clavicular\": 5.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|incline_dumbbell_bench_press                 |Incline Bench Bilateral Dumbbell Bench Press                   |Dumbbell            |60              |"{\"rhomboids\": 2.50, \"rotator_cuffs\": 32.00, \"wrist_flexors\": 5.00, \"biceps_brachii\": 0.50, \"trapezius_lower\": 3.00, \"trapezius_upper\": 3.00, \"wrist_extensors\": 3.00, \"deltoid_anterior\": 24.00, \"latissimus_dorsi\": 2.50, \"pectoralis_minor\": 3.50, \"trapezius_middle\": 4.00, \"serratus_anterior\": 9.00, \"triceps_long_head\": 16.50, \"triceps_medial_head\": 8.50, \"triceps_lateral_head\": 19.50, \"pectoralis_major_sternal\": 22.00, \"pectoralis_major_clavicular\": 10.50}"                                                                                                                                                                                                                                                                                                                                                                                          |
|incline_barbell_bench_press                  |Incline Barbell Bench Press                                    |Barbell             |70              |"{\"rhomboids\": 2.00, \"rotator_cuffs\": 21.00, \"wrist_flexors\": 5.50, \"trapezius_lower\": 2.20, \"trapezius_upper\": 4.20, \"wrist_extensors\": 2.50, \"deltoid_anterior\": 24.00, \"latissimus_dorsi\": 3.00, \"pectoralis_minor\": 2.50, \"trapezius_middle\": 3.00, \"serratus_anterior\": 9.50, \"triceps_long_head\": 20.50, \"triceps_medial_head\": 9.80, \"triceps_lateral_head\": 22.50, \"pectoralis_major_sternal\": 23.50, \"pectoralis_major_clavicular\": 10.80}"                                                                                                                                                                                                                                                                                                                                                                                                                    |
|trx_body_saw                                 |TRX Suspension Forearm Body Saw                                |Suspension          |55              |"{\"obliques\": 39.51, \"rotator_cuffs\": 6.00, \"wrist_flexors\": 1.50, \"erector_spinae\": 3.50, \"gluteus_maximus\": 5.32, \"deltoid_anterior\": 5.00, \"latissimus_dorsi\": 13.36, \"rectus_abdominis\": 18.72, \"deltoid_posterior\": 3.00, \"serratus_anterior\": 13.85, \"triceps_long_head\": 4.00, \"transverse_abdominis\": 8.40}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|hanging_bent_knee_pelvic_raise               |Hanging Bent-Knee Raise with Posterior Pelvic Curl             |Bodyweight          |55              |"{\"obliques\": 15.00, \"iliopsoas\": 61.15, \"sartorius\": 1.03, \"rotator_cuffs\": 4.50, \"wrist_flexors\": 5.50, \"biceps_brachii\": 2.00, \"erector_spinae\": 3.50, \"rectus_femoris\": 18.70, \"latissimus_dorsi\": 7.00, \"rectus_abdominis\": 18.00, \"deltoid_posterior\": 2.50, \"transverse_abdominis\": 4.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|dumbbell_walking_lunge                       |Bilateral Dumbbell Walking Lunge                               |Dumbbell            |45              |"{\"soleus\": 68.00, \"obliques\": 5.00, \"gastrocnemius\": 29.00, \"rotator_cuffs\": 5.00, \"wrist_flexors\": 6.00, \"erector_spinae\": 8.00, \"gluteus_medius\": 25.00, \"rectus_femoris\": 32.00, \"semitendinosus\": 3.80, \"adductor_magnus\": 47.00, \"gluteus_maximus\": 101.00, \"gluteus_minimus\": 4.50, \"semimembranosus\": 13.00, \"vastus_medialis\": 84.00, \"wrist_extensors\": 3.00, \"latissimus_dorsi\": 4.00, \"trapezius_middle\": 3.50, \"vastus_lateralis\": 177.00, \"vastus_intermedius\": 48.00, \"transverse_abdominis\": 4.00, \"biceps_femoris_long_head\": 7.50}"                                                                                                                                                                                                                                                                                                         |
|standing_single_arm_low_cable_side_bend      |Standing Single-Arm Low-Cable Side Bend                        |Cable               |25              |"{\"obliques\": 46.67, \"rotator_cuffs\": 3.00, \"wrist_flexors\": 2.00, \"biceps_brachii\": 1.50, \"erector_spinae\": 21.00, \"gluteus_medius\": 4.00, \"latissimus_dorsi\": 4.00, \"rectus_abdominis\": 2.50, \"transverse_abdominis\": 3.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|shoulder_width_pronated_lat_pulldown         |Seated Shoulder-Width Pronated-Grip Cable Lat Pulldown         |Cable               |65              |"{\"obliques\": 4.00, \"rhomboids\": 12.00, \"brachialis\": 27.00, \"teres_major\": 3.80, \"rotator_cuffs\": 20.00, \"wrist_flexors\": 11.00, \"biceps_brachii\": 24.00, \"erector_spinae\": 12.00, \"brachioradialis\": 3.20, \"trapezius_lower\": 7.50, \"wrist_extensors\": 2.50, \"latissimus_dorsi\": 36.00, \"pectoralis_minor\": 3.80, \"trapezius_middle\": 15.00, \"deltoid_posterior\": 14.00, \"pronators_supinators\": 3.20, \"transverse_abdominis\": 3.00}"                                                                                                                                                                                                                                                                                                                                                                                                                               |
|wide_grip_pronated_lat_pulldown              |Seated Wide-Grip Pronated Cable Lat Pulldown                   |Cable               |60              |"{\"obliques\": 4.00, \"rhomboids\": 14.00, \"brachialis\": 21.00, \"teres_major\": 3.80, \"rotator_cuffs\": 22.00, \"wrist_flexors\": 10.50, \"biceps_brachii\": 19.00, \"erector_spinae\": 11.00, \"brachioradialis\": 2.20, \"trapezius_lower\": 8.00, \"wrist_extensors\": 2.50, \"latissimus_dorsi\": 36.00, \"pectoralis_minor\": 3.80, \"trapezius_middle\": 18.00, \"deltoid_posterior\": 15.00, \"pronators_supinators\": 3.20, \"transverse_abdominis\": 3.00}"                                                                                                                                                                                                                                                                                                                                                                                                                               |
|shoulder_width_supinated_lat_pulldown        |Seated Shoulder-Width Supinated-Grip Cable Lat Pulldown        |Cable               |70              |"{\"obliques\": 4.00, \"rhomboids\": 12.50, \"brachialis\": 30.00, \"teres_major\": 3.40, \"rotator_cuffs\": 22.00, \"wrist_flexors\": 11.50, \"biceps_brachii\": 31.50, \"erector_spinae\": 13.00, \"brachioradialis\": 2.80, \"trapezius_lower\": 7.50, \"wrist_extensors\": 2.50, \"latissimus_dorsi\": 31.00, \"pectoralis_minor\": 3.80, \"trapezius_middle\": 15.50, \"deltoid_posterior\": 14.50, \"pronators_supinators\": 4.20, \"transverse_abdominis\": 3.00, \"pectoralis_major_sternal\": 3.50}"                                                                                                                                                                                                                                                                                                                                                                                           |
|single_arm_neutral_grip_lat_pulldown         |Seated Single-Arm Neutral-Grip Cable Lat Pulldown              |Cable               |35              |"{\"obliques\": 17.00, \"rhomboids\": 10.00, \"brachialis\": 24.00, \"teres_major\": 3.40, \"rotator_cuffs\": 16.00, \"wrist_flexors\": 9.00, \"biceps_brachii\": 20.00, \"erector_spinae\": 7.50, \"brachioradialis\": 4.50, \"trapezius_lower\": 6.20, \"wrist_extensors\": 2.50, \"latissimus_dorsi\": 30.00, \"pectoralis_minor\": 3.10, \"trapezius_middle\": 13.50, \"deltoid_posterior\": 12.00, \"pronators_supinators\": 3.20, \"transverse_abdominis\": 4.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                |
|plate_loaded_neutral_grip_lat_pulldown       |Plate-Loaded Seated Bilateral Neutral-Grip Lat Pulldown        |Plate_Loaded_Machine|70              |"{\"obliques\": 3.00, \"rhomboids\": 12.00, \"brachialis\": 29.50, \"teres_major\": 3.80, \"rotator_cuffs\": 19.00, \"wrist_flexors\": 11.00, \"biceps_brachii\": 26.00, \"erector_spinae\": 12.00, \"brachioradialis\": 5.20, \"trapezius_lower\": 7.50, \"wrist_extensors\": 2.50, \"latissimus_dorsi\": 36.00, \"pectoralis_minor\": 3.80, \"trapezius_middle\": 15.00, \"deltoid_posterior\": 14.00, \"pronators_supinators\": 2.50, \"transverse_abdominis\": 2.50}"                                                                                                                                                                                                                                                                                                                                                                                                                               |
|shoulder_width_pronated_pull_up              |Bodyweight Shoulder-Width Pronated-Grip Pull-Up                |Bodyweight          |85              |"{\"obliques\": 8.00, \"rhomboids\": 13.00, \"brachialis\": 32.00, \"teres_major\": 4.00, \"rotator_cuffs\": 24.00, \"wrist_flexors\": 19.00, \"biceps_brachii\": 27.00, \"erector_spinae\": 5.00, \"brachioradialis\": 4.00, \"trapezius_lower\": 8.00, \"latissimus_dorsi\": 39.00, \"pectoralis_minor\": 4.00, \"rectus_abdominis\": 5.00, \"trapezius_middle\": 16.50, \"deltoid_posterior\": 16.00, \"pronators_supinators\": 4.00, \"transverse_abdominis\": 4.00, \"pectoralis_major_sternal\": 4.20}"                                                                                                                                                                                                                                                                                                                                                                                           |
|plate_loaded_chest_supported_neutral_grip_row|Plate-Loaded Chest-Supported Bilateral Neutral-Grip Row        |Plate_Loaded_Machine|75              |"{\"rhomboids\": 18.50, \"brachialis\": 37.50, \"teres_major\": 3.60, \"rotator_cuffs\": 3.00, \"wrist_flexors\": 2.50, \"biceps_brachii\": 32.00, \"brachioradialis\": 7.00, \"trapezius_lower\": 5.00, \"latissimus_dorsi\": 38.00, \"trapezius_middle\": 20.00, \"deltoid_posterior\": 16.50, \"pronators_supinators\": 2.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|selectorized_chest_supported_neutral_grip_row|Selectorized Chest-Supported Bilateral Neutral-Grip Row        |Selectorized_Machine|65              |"{\"rhomboids\": 13.50, \"brachialis\": 28.00, \"teres_major\": 3.70, \"rotator_cuffs\": 13.50, \"wrist_flexors\": 11.00, \"biceps_brachii\": 23.50, \"brachioradialis\": 5.20, \"trapezius_lower\": 7.00, \"trapezius_upper\": 3.30, \"latissimus_dorsi\": 34.50, \"pectoralis_minor\": 1.90, \"trapezius_middle\": 17.50, \"deltoid_posterior\": 15.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|selectorized_pullover                        |Selectorized Seated Pullover Machine                           |Selectorized_Machine|60              |"{\"obliques\": 9.00, \"rhomboids\": 3.20, \"teres_major\": 3.80, \"rotator_cuffs\": 13.50, \"wrist_flexors\": 2.80, \"trapezius_lower\": 9.00, \"latissimus_dorsi\": 38.00, \"pectoralis_minor\": 3.30, \"rectus_abdominis\": 8.00, \"trapezius_middle\": 6.00, \"deltoid_posterior\": 16.50, \"triceps_long_head\": 11.50, \"pectoralis_major_sternal\": 12.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|lying_ez_bar_triceps_extension               |Flat Bench Lying EZ-Bar Triceps Extension                      |Barbell             |30              |"{\"rotator_cuffs\": 10.00, \"wrist_flexors\": 3.81, \"erector_spinae\": 2.00, \"wrist_extensors\": 1.64, \"deltoid_anterior\": 5.18, \"serratus_anterior\": 2.00, \"triceps_long_head\": 34.40, \"triceps_medial_head\": 10.45, \"triceps_lateral_head\": 24.19, \"pectoralis_major_sternal\": 2.94}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
|dumbbell_goblet_squat                        |Dumbbell Goblet Squat                                          |Dumbbell            |40              |"{\"soleus\": 75.00, \"obliques\": 5.00, \"brachialis\": 6.00, \"gastrocnemius\": 30.00, \"rotator_cuffs\": 4.00, \"wrist_flexors\": 6.00, \"biceps_brachii\": 8.00, \"erector_spinae\": 15.00, \"rectus_femoris\": 36.00, \"adductor_magnus\": 48.00, \"gluteus_maximus\": 98.00, \"trapezius_upper\": 3.50, \"vastus_medialis\": 90.00, \"deltoid_anterior\": 5.00, \"vastus_lateralis\": 190.00, \"vastus_intermedius\": 52.00, \"transverse_abdominis\": 4.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|standing_ez_bar_curl                         |Standing Supinated-Grip EZ-Bar Curl                            |Barbell             |35              |"{\"brachialis\": 31.92, \"rotator_cuffs\": 1.50, \"wrist_flexors\": 4.00, \"biceps_brachii\": 30.51, \"erector_spinae\": 2.50, \"brachioradialis\": 7.08, \"deltoid_anterior\": 2.00, \"pronators_supinators\": 6.55}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|standing_straight_bar_cable_curl             |Standing Low-Cable Straight-Bar Supinated Curl                 |Cable               |35              |"{\"obliques\": 4.80, \"brachialis\": 32.00, \"wrist_flexors\": 5.00, \"biceps_brachii\": 26.00, \"erector_spinae\": 9.50, \"brachioradialis\": 3.50, \"wrist_extensors\": 2.00, \"deltoid_anterior\": 3.00, \"rectus_abdominis\": 4.80, \"pronators_supinators\": 4.20, \"transverse_abdominis\": 2.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|barbell_forward_lunge                        |Barbell Alternating Forward Lunge                              |Barbell             |60              |"{\"soleus\": 82.00, \"obliques\": 22.00, \"iliopsoas\": 18.00, \"rhomboids\": 6.00, \"gastrocnemius\": 43.00, \"wrist_flexors\": 5.00, \"erector_spinae\": 45.00, \"gluteus_medius\": 40.00, \"rectus_femoris\": 38.00, \"semitendinosus\": 6.00, \"adductor_magnus\": 50.00, \"gluteus_maximus\": 105.00, \"gluteus_minimus\": 9.00, \"semimembranosus\": 19.00, \"trapezius_lower\": 4.00, \"trapezius_upper\": 8.00, \"vastus_medialis\": 87.00, \"latissimus_dorsi\": 5.00, \"rectus_abdominis\": 6.00, \"trapezius_middle\": 7.00, \"vastus_lateralis\": 182.00, \"deltoid_posterior\": 3.00, \"tibialis_anterior\": 12.00, \"vastus_intermedius\": 50.00, \"transverse_abdominis\": 6.00, \"adductor_longus_brevis\": 12.00, \"biceps_femoris_long_head\": 12.00, \"biceps_femoris_short_head\": 5.00}"                                                                                          |
|selectorized_hip_thrust                      |Selectorized Machine Hip Thrust                                |Selectorized_Machine|120             |"{\"obliques\": 4.00, \"erector_spinae\": 2.00, \"gluteus_medius\": 5.00, \"semitendinosus\": 12.50, \"adductor_magnus\": 67.00, \"gluteus_maximus\": 125.00, \"semimembranosus\": 42.00, \"transverse_abdominis\": 4.00, \"biceps_femoris_long_head\": 26.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|dumbbell_romanian_deadlift                   |Bilateral Dumbbell Romanian Deadlift                           |Dumbbell            |70              |"{\"obliques\": 5.00, \"rotator_cuffs\": 7.00, \"wrist_flexors\": 8.00, \"erector_spinae\": 72.00, \"gluteus_medius\": 8.00, \"semitendinosus\": 17.50, \"adductor_magnus\": 57.00, \"gluteus_maximus\": 115.00, \"semimembranosus\": 62.00, \"trapezius_lower\": 3.00, \"wrist_extensors\": 3.50, \"latissimus_dorsi\": 6.00, \"trapezius_middle\": 5.00, \"transverse_abdominis\": 4.00, \"biceps_femoris_long_head\": 36.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|plate_loaded_belt_squat                      |Plate-Loaded Belt Squat                                        |Plate_Loaded_Machine|120             |"{\"soleus\": 72.00, \"obliques\": 4.00, \"gastrocnemius\": 26.00, \"erector_spinae\": 3.00, \"gluteus_medius\": 5.00, \"rectus_femoris\": 36.00, \"adductor_magnus\": 46.00, \"gluteus_maximus\": 97.00, \"vastus_medialis\": 90.00, \"vastus_lateralis\": 190.00, \"vastus_intermedius\": 52.00, \"transverse_abdominis\": 3.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|standing_dumbbell_hammer_curl                |Standing Dumbbell Hammer Curl                                  |Dumbbell            |32              |"{\"soleus\": 5.00, \"obliques\": 5.00, \"rhomboids\": 2.50, \"brachialis\": 37.00, \"rotator_cuffs\": 9.00, \"wrist_flexors\": 15.00, \"biceps_brachii\": 21.50, \"erector_spinae\": 7.00, \"brachioradialis\": 10.60, \"gluteus_maximus\": 4.00, \"trapezius_lower\": 2.00, \"trapezius_upper\": 7.00, \"wrist_extensors\": 4.50, \"deltoid_anterior\": 7.00, \"rectus_abdominis\": 3.50, \"trapezius_middle\": 3.00, \"triceps_long_head\": 2.00, \"pronators_supinators\": 5.50, \"transverse_abdominis\": 3.50}"                                                                                                                                                                                                                                                                                                                                                                                   |
|standing_barbell_overhead_press              |Standing Barbell Overhead Press                                |Barbell             |45              |"{\"soleus\": 10.00, \"obliques\": 12.00, \"rhomboids\": 4.00, \"rotator_cuffs\": 26.00, \"wrist_flexors\": 9.00, \"erector_spinae\": 22.00, \"gluteus_medius\": 8.00, \"deltoid_lateral\": 22.50, \"gluteus_maximus\": 14.00, \"trapezius_lower\": 5.50, \"trapezius_upper\": 8.50, \"wrist_extensors\": 7.00, \"deltoid_anterior\": 24.00, \"rectus_abdominis\": 6.50, \"trapezius_middle\": 5.00, \"serratus_anterior\": 21.00, \"triceps_long_head\": 24.00, \"triceps_medial_head\": 12.00, \"transverse_abdominis\": 7.00, \"triceps_lateral_head\": 27.50, \"pectoralis_major_clavicular\": 5.00}"                                                                                                                                                                                                                                                                                               |
|dumbbell_lateral_raise                       |Standing Dumbbell Lateral Raise                                |Dumbbell            |24              |"{\"obliques\": 3.00, \"rotator_cuffs\": 25.00, \"wrist_flexors\": 6.00, \"deltoid_lateral\": 45.00, \"trapezius_lower\": 2.20, \"trapezius_upper\": 13.00, \"wrist_extensors\": 4.00, \"deltoid_anterior\": 9.50, \"trapezius_middle\": 4.50, \"deltoid_posterior\": 4.20, \"serratus_anterior\": 8.50, \"transverse_abdominis\": 2.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|straight_bar_triceps_pushdown                |Standing Cable Straight-Bar Triceps Pushdown                   |Cable               |45              |"{\"obliques\": 2.00, \"rotator_cuffs\": 5.00, \"wrist_flexors\": 4.00, \"wrist_extensors\": 3.00, \"deltoid_anterior\": 4.00, \"rectus_abdominis\": 2.00, \"serratus_anterior\": 2.50, \"triceps_long_head\": 37.00, \"triceps_medial_head\": 14.00, \"transverse_abdominis\": 1.50, \"triceps_lateral_head\": 32.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|selectorized_lying_leg_curl                  |Selectorized Lying Leg Curl                                    |Selectorized_Machine|45              |"{\"obliques\": 2.00, \"gastrocnemius\": 11.00, \"semitendinosus\": 19.00, \"gluteus_maximus\": 6.00, \"semimembranosus\": 62.00, \"rectus_abdominis\": 3.00, \"tibialis_anterior\": 3.00, \"transverse_abdominis\": 1.50, \"biceps_femoris_long_head\": 39.00, \"biceps_femoris_short_head\": 21.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
|seated_neutral_grip_dumbbell_overhead_press  |Seated Neutral-Grip Dumbbell Overhead Press                    |Dumbbell            |44              |"{\"obliques\": 5.00, \"rhomboids\": 3.50, \"rotator_cuffs\": 28.00, \"wrist_flexors\": 9.00, \"erector_spinae\": 9.00, \"deltoid_lateral\": 21.00, \"trapezius_lower\": 4.50, \"trapezius_upper\": 7.20, \"wrist_extensors\": 6.00, \"deltoid_anterior\": 25.00, \"rectus_abdominis\": 4.00, \"trapezius_middle\": 4.50, \"serratus_anterior\": 18.00, \"triceps_long_head\": 22.00, \"triceps_medial_head\": 11.50, \"pronators_supinators\": 5.00, \"transverse_abdominis\": 4.00, \"triceps_lateral_head\": 26.00, \"pectoralis_major_clavicular\": 4.20}"                                                                                                                                                                                                                                                                                                                                          |
|chin_up                                      |Supinated-Grip Chin-Up                                         |Bodyweight          |85              |"{\"obliques\": 7.00, \"rhomboids\": 22.00, \"brachialis\": 40.00, \"teres_major\": 4.50, \"rotator_cuffs\": 32.00, \"wrist_flexors\": 40.00, \"biceps_brachii\": 36.00, \"erector_spinae\": 7.00, \"brachioradialis\": 9.00, \"trapezius_lower\": 13.00, \"wrist_extensors\": 5.00, \"latissimus_dorsi\": 43.50, \"pectoralis_minor\": 7.50, \"rectus_abdominis\": 5.50, \"trapezius_middle\": 20.00, \"deltoid_posterior\": 13.00, \"serratus_anterior\": 6.00, \"triceps_long_head\": 9.00, \"pronators_supinators\": 7.00, \"transverse_abdominis\": 3.00, \"pectoralis_major_sternal\": 18.50}"                                                                                                                                                                                                                                                                                                    |
|incline_ez_bar_triceps_extension             |Incline Bench EZ-Bar Triceps Extension                         |Barbell             |30              |"{\"rotator_cuffs\": 6.00, \"wrist_flexors\": 5.00, \"trapezius_lower\": 1.50, \"trapezius_upper\": 1.50, \"wrist_extensors\": 4.00, \"deltoid_anterior\": 5.00, \"serratus_anterior\": 3.50, \"triceps_long_head\": 41.00, \"triceps_medial_head\": 14.00, \"triceps_lateral_head\": 32.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
